City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
thinadhoo,0.5333,72.9333,81.95,63,14,2.53,MV,1618448547
poum,-20.2333,164.0167,77.85,83,98,14.85,NC,1618448650
punta arenas,-53.15,-70.9167,41.0,81,0,26.46,CL,1618448536
butaritari,3.0707,172.7902,81.79,77,83,7.23,KI,1618448473
sabzevar,36.2126,57.6819,63.91,35,100,4.36,IR,1618448655
taolanaro,38.5167,-28.7,61.68,89,15,7.23,PT,1618448656
ribeira grande,53.3224,81.498,36.25,99,100,3.24,RU,1618448659
tyumentsevo,-17.7333,-149.15,84.2,70,75,4.61,PF,1618448660
tautira,-23.1203,-134.9692,78.51,69,9,5.08,PF,1618448660
rikitea,-33.8679,151.2073,75.2,31,0,12.66,AU,1618448363
sydney,55.9643,46.7743,46.4,76,0,6.71,RU,1618448660
morgaushi,30.153,-85.5699,70.0,88,20,5.75,US,1618448665
callaway,7.1333,40.7,57.94,70,23,4.61,ET,1618448665
ginir,-34.4187,19.2345,63.0,91,84,3.0,ZA,1618448665
hermanus,-17.0231,-72.0147,66.96,87,53,5.91,PE,1618448665
mollendo,31.3366,118.3755,55.4,62,0,8.95,CN,1618448666
wuhu,77.484,-69.3632,-11.43,65,0,7.34,GL,1618448701
qaanaaq,-38.0023,-57.5575,66.0,77,0,6.91,AR,1618448470
uwayl,72.7868,-56.1549,-11.52,100,95,3.56,GL,1618448702
mar del plata,56.1639,-3.3284,39.99,87,0,2.04,GB,1618448703
upernavik,22.5667,59.5289,83.16,41,6,8.95,OM,1618448703
ballingry,-24.7911,-50.0119,54.5,95,100,6.13,BR,1618448456
belushya guba,53.75,127.2667,31.86,56,14,3.22,RU,1618448704
sur,65.6145,-37.6368,32.0,93,90,24.16,GL,1618448704
satitoa,42.097,-79.2353,46.4,46,1,5.75,US,1618448467
castro,40.5982,-124.1573,60.01,62,1,12.66,US,1618448704
zeya,50.1001,-91.917,30.2,86,90,5.75,CA,1618448705
tasiilaq,-46.2817,169.8464,63.0,67,7,3.0,NZ,1618448706
jamestown,70.6333,147.9167,6.35,84,69,6.17,RU,1618448485
fortuna,62.456,-114.3525,42.8,36,1,4.61,CA,1618448475
sioux lookout,-9.8,-139.0333,80.83,73,13,19.8,PF,1618448710
kaitangata,71.2906,-156.7887,15.8,73,1,11.5,US,1618448470
chokurdakh,8.4596,25.678,76.01,11,44,1.77,SS,1618448732
yellowknife,22.2855,114.1577,73.0,88,100,20.65,HK,1618448732
paucartambo,34.6391,-120.4579,57.2,58,99,11.5,US,1618448733
atuona,-28.1887,23.5395,68.31,32,86,8.25,ZA,1618448734
amderma,-21.2,-175.2,80.6,69,20,8.05,TO,1618448504
barrow,-8.8402,31.3659,59.99,94,100,5.79,ZM,1618448809
raga,-34.5322,20.0403,51.8,93,100,2.3,ZA,1618448810
victoria,22.1758,88.4178,82.4,94,20,6.91,IN,1618448810
lompoc,12.0672,-16.0333,75.2,83,0,4.61,GW,1618448810
danielskuil,-54.8,-68.3,41.0,60,40,6.91,AR,1618448810
vaini,52.4411,61.7408,39.27,62,14,3.76,KZ,1618448811
mbala,-30.1811,-50.2056,71.49,69,95,19.1,BR,1618448550
bredasdorp,55.7435,-97.8558,39.2,20,40,4.61,CA,1618448644
illoqqortoormiut,-46.6,168.3333,60.01,78,58,3.0,NZ,1618448811
jaynagar-majilpur,7.9986,124.2928,82.0,81,100,5.99,PH,1618448811
canchungo,-46.1927,168.8643,60.01,78,35,3.0,NZ,1618448812
ushuaia,65.8167,87.9833,18.28,94,100,18.19,RU,1618448812
ordzhonikidze,69.4541,-133.0374,26.6,86,90,6.91,CA,1618448595
cidreira,43.0831,-73.7846,62.6,48,90,6.91,US,1618448847
thompson,27.7523,-98.0697,84.2,74,1,11.5,US,1618448848
bluff,58.484,43.4088,45.03,82,100,3.24,RU,1618448848
marawi,-33.65,115.3333,65.03,57,44,4.88,AU,1618448848
mataura,47.6666,-52.7314,33.01,93,90,11.5,CA,1618448847
turukhansk,39.1834,-84.5333,55.99,71,1,5.75,US,1618448630
tuktoyaktuk,51.3813,1.3862,41.0,69,15,4.0,GB,1618448854
saratoga springs,6.4965,2.6036,84.2,79,20,11.5,BJ,1618448858
alice,3.6415,18.5936,72.91,72,65,2.66,CF,1618448858
parfenyevo,-42.8794,147.3294,55.99,54,20,23.02,AU,1618448858
busselton,9.285,105.7244,83.44,69,96,3.11,VN,1618448870
torbay,42.6001,-73.9662,62.6,47,75,5.75,US,1618448855
hamilton,-33.9258,18.4232,62.01,88,0,6.91,ZA,1618448787
margate,50.6789,156.125,39.11,92,100,23.22,RU,1618448878
porto novo,62.2266,-6.589,44.6,100,75,11.5,FO,1618448945
mongoumba,-3.6667,152.4333,84.74,67,22,4.36,PG,1618448608
hobart,43.0645,44.7417,37.4,93,8,2.24,RU,1618448947
one hundred mile house,-3.6954,128.1814,87.8,66,40,3.44,ID,1618448947
nizhneyansk,-19.0595,-169.9187,82.4,65,40,5.75,NU,1618448949
bac lieu,-33.5906,26.891,67.87,79,71,7.2,ZA,1618448950
karaul,-8.0089,-34.8553,78.8,83,75,5.75,BR,1618448951
albany,14.8961,-24.4956,76.66,57,76,14.88,CV,1618448856
saleaula,32.6667,-17.1,62.6,77,20,5.75,PT,1618448951
cape town,5.6667,73.0,82.78,70,98,6.24,MV,1618449019
severo-kurilsk,63.4564,48.8989,35.19,71,99,10.2,RU,1618449019
klaksvik,-21.6403,-41.0511,70.77,75,36,9.66,BR,1618448489
namatanai,63.05,179.3167,15.48,73,14,2.01,RU,1618448576
oktyabrskoye,60.9167,-46.05,33.8,75,20,3.44,GL,1618448922
ambon,50.6996,-127.4199,53.6,66,20,11.5,CA,1618449088
alofi,73.5069,80.5464,-17.0,100,100,6.51,RU,1618448879
port alfred,5.4112,100.3354,80.6,94,20,2.3,MY,1618448803
olinda,-7.95,110.2833,80.38,78,31,3.36,ID,1618449088
sao filipe,30.4833,-115.95,58.37,65,60,16.96,MX,1618449088
ponta do sol,45.2514,77.9838,45.61,43,0,15.46,KZ,1618449090
ugoofaaru,-42.7826,147.0587,55.99,54,20,23.02,AU,1618449090
koslan,39.2667,141.8833,44.6,53,75,5.75,JP,1618449090
sao joao da barra,34.9833,139.8667,55.0,47,75,18.41,JP,1618449091
beringovskiy,-38.2333,175.8667,62.01,89,96,8.99,NZ,1618449091
marcona,-45.5752,-72.0662,46.4,81,75,3.44,CL,1618449091
narsaq,-34.0033,24.7314,59.0,97,1,1.99,ZA,1618449091
port hardy,36.0942,28.0157,59.0,77,20,3.44,GR,1618449092
dikson,39.7432,98.5174,38.35,15,5,0.78,CN,1618449092
guicheng,-28.65,153.6167,77.0,47,0,5.75,AU,1618448950
georgetown,-33.918,25.5701,59.0,100,20,5.93,ZA,1618449093
bambanglipuro,36.6177,-121.9166,60.01,58,20,11.5,US,1618449094
san quintin,55.1001,-105.2842,44.6,33,100,2.3,CA,1618448898
ushtobe,-34.7333,135.8667,65.93,49,31,8.81,AU,1618449094
palabuhanratu,-6.8844,112.2051,80.44,78,58,7.56,ID,1618449129
new norfolk,-21.3585,55.7679,75.2,78,75,9.22,RE,1618449130
kamaishi,-22.116,14.2845,75.99,48,0,7.52,NA,1618449130
tateyama,51.9533,85.3325,37.53,92,98,4.43,RU,1618449130
ngukurr,-25.1667,45.05,70.27,97,14,4.59,MG,1618449130
tokoroa,35.174,-2.9287,57.2,88,90,8.05,MA,1618449131
coihaique,-33.0153,27.9116,68.16,82,8,6.6,ZA,1618448900
kruisfontein,-6.2167,149.55,84.36,65,86,5.46,PG,1618449133
lardos,19.3832,-69.8474,71.01,72,5,7.76,DO,1618448941
jiuquan,7.7669,-72.225,80.6,83,20,2.3,VE,1618448969
byron bay,22.0752,-159.319,78.8,57,40,17.27,US,1618449133
port elizabeth,40.1629,-8.3327,61.0,100,75,2.3,PT,1618449134
pacific grove,55.0607,15.1306,35.6,69,40,4.61,DK,1618449134
la ronge,71.9667,102.5,-9.18,96,28,9.24,RU,1618449139
port lincoln,-33.6971,-53.4616,62.35,83,84,8.34,UY,1618449140
tsihombe,42.2506,-75.833,55.99,76,90,4.61,US,1618449140
labuhan,69.7008,170.3133,5.18,72,16,4.25,RU,1618449175
saint-philippe,16.9833,73.3,79.27,73,0,2.1,IN,1618449176
henties bay,44.7631,-85.6206,39.2,81,75,9.22,US,1618449176
altayskoye,57.3434,58.2199,43.14,93,87,5.1,RU,1618449176
beloha,4.1363,96.1285,78.67,83,87,3.06,ID,1618448454
nador,17.1495,42.6254,84.2,70,40,4.61,SA,1618449177
east london,7.4167,81.8167,78.37,83,99,7.16,LK,1618449177
kandrian,68.5333,146.4167,10.26,80,73,4.68,RU,1618449116
nagua,-0.6,73.0833,82.06,63,22,1.5,MV,1618449177
san cristobal,7.6244,-11.8332,75.94,89,100,2.53,SL,1618449177
kapaa,-20.3428,57.7575,77.0,94,75,6.91,MU,1618449178
lata,64.3833,-173.3,19.4,73,20,4.47,RU,1618449178
nexo,41.0308,39.0031,53.6,58,0,3.44,TR,1618449178
khatanga,36.6167,101.7667,40.03,44,88,0.85,CN,1618449179
chuy,-22.2475,-50.6983,64.81,60,5,9.19,BR,1618449181
broome,57.8,158.6667,32.99,99,100,10.94,RU,1618449181
pevek,57.0531,-135.33,42.8,81,90,3.44,US,1618449181
ratnagiri,39.2342,106.3439,36.61,27,0,39.5,CN,1618449182
traverse city,20.7,-105.2,78.8,73,1,5.75,MX,1618449182
aflu,-8.7676,160.7034,82.99,76,97,3.67,SB,1618449183
shamary,-20.4597,-66.825,53.24,27,97,10.27,BO,1618449183
meulaboh,57.79,-152.4072,42.8,70,90,3.44,US,1618449184
sabya,68.0531,39.5131,28.13,86,79,28.03,RU,1618449184
kalmunai,59.5667,150.8,22.39,79,100,17.76,RU,1618449184
belaya gora,71.6872,128.8694,11.55,91,55,1.39,RU,1618449185
hithadhoo,-16.4833,-151.75,82.0,72,100,11.48,PF,1618449185
barentsburg,13.0833,109.3,80.44,73,100,1.7,VN,1618449185
mattru,-35.7167,150.1833,69.01,73,4,1.01,AU,1618449186
bambous virieux,7.9803,49.8164,79.57,73,46,6.49,SO,1618449254
provideniya,-28.0167,18.75,73.99,23,0,10.16,NA,1618449254
gorele,-2.0833,101.3833,69.1,90,99,0.07,ID,1618448673
xining,63.8424,-22.4338,44.6,93,90,21.85,IS,1618449256
quata,10.9995,122.6711,84.65,67,100,7.31,PH,1618449256
tigil,-0.7393,-90.3518,76.35,89,18,3.96,EC,1618449256
sitka,57.8406,108.3492,28.42,89,100,2.71,RU,1618449256
shitanjing,25.2819,110.2864,60.8,100,75,2.24,CN,1618449257
ixtapa,-37.6167,-73.65,55.33,93,100,4.27,CL,1618449258
khonuu,51.226,-58.6502,36.18,67,0,3.69,CA,1618449228
auki,4.9158,29.4742,68.61,72,29,4.45,SS,1618449334
uyuni,-6.2453,-41.4192,74.84,75,41,4.21,BR,1618449071
kodiak,-24.8667,113.6333,77.07,43,0,20.04,AU,1618449066
ostrovnoy,18.2342,-72.5347,80.6,65,8,3.44,HT,1618449336
magadan,-35.1667,173.1667,65.17,64,89,9.98,NZ,1618449336
ijaki,44.6453,-63.5724,37.99,70,20,9.22,CA,1618449311
tiksi,8.9242,-67.4293,76.19,88,100,3.98,VE,1618449337
faanui,41.3712,-73.414,64.4,52,90,5.75,US,1618449337
tuy hoa,60.7522,-137.5108,48.2,34,44,6.91,CA,1618449337
batemans bay,13.35,74.7167,75.2,88,40,4.61,IN,1618449337
eyl,24.2,91.8333,78.8,89,85,4.79,IN,1618449338
karasburg,14.7623,-90.9947,72.0,78,75,9.22,GT,1618449338
sungaipenuh,-14.7203,-56.3275,77.63,72,99,3.53,BR,1618449338
grindavik,58.965,-3.296,39.2,93,58,3.44,GB,1618449339
dingle,42.0304,-8.1588,51.01,81,98,5.99,PT,1618449339
puerto ayora,37.1041,-113.5841,71.01,13,1,12.66,US,1618449272
alekseyevsk,-25.2406,130.9889,60.8,72,90,13.8,AU,1618449339
guilin,71.9167,114.0833,0.28,89,21,4.5,RU,1618449339
lebu,6.1241,81.1185,75.2,100,20,3.44,LK,1618449340
saint-augustin,62.5747,11.3842,23.0,93,97,2.3,NO,1618449340
maridi,47.5167,122.8833,43.11,41,100,10.42,CN,1618449340
pimenteiras,19.7297,-155.09,80.6,54,20,12.66,US,1618449341
carnarvon,26.5579,54.8807,86.0,45,84,9.22,IR,1618449342
jacmel,31.6,131.3667,60.8,36,75,14.97,JP,1618449342
ahipara,5.0314,25.1361,73.69,64,88,2.62,CF,1618449342
halifax,-2.5744,150.7967,84.43,66,98,5.88,PG,1618449343
calabozo,59.7035,30.7861,39.2,56,0,4.47,RU,1618449115
bethel,-12.9067,15.2533,63.86,84,95,3.22,AO,1618449343
haines junction,-21.2078,-159.775,84.2,61,20,8.05,CK,1618449344
malpe,46.4333,26.4,39.0,66,100,3.62,RO,1618449350
kamalpur,69.2167,-51.1,15.8,57,75,18.41,GL,1618449350
tecpan,58.1286,68.5944,42.96,94,16,6.35,RU,1618449350
nobres,-2.0226,147.2712,84.02,70,84,5.79,PG,1618449350
stromness,64.5401,40.5433,32.0,74,0,4.47,RU,1618449351
vila,35.7333,140.8333,54.0,35,20,14.97,JP,1618449351
saint george,12.2833,-10.9667,92.05,23,100,2.71,ML,1618449356
yulara,63.4453,120.3167,25.56,91,90,4.27,RU,1618449356
saskylakh,17.0151,54.0924,77.0,78,20,4.61,OM,1618449357
hambantota,35.1717,-103.725,53.6,58,90,14.97,US,1618449357
roros,-20.5167,57.5167,77.0,94,75,6.91,MU,1618449357
nianzishan,-8.19,114.9675,80.6,89,40,3.44,ID,1618449357
hilo,-8.9266,125.4092,69.06,46,79,2.91,TL,1618449361
bandar-e lengeh,26.3544,127.8686,69.8,73,90,10.36,JP,1618449361
nichinan,51.064,-0.3272,37.4,75,20,3.44,GB,1618449361
zemio,28.017,-97.5169,79.0,83,75,10.36,US,1618449362
kavieng,-26.6481,15.1594,75.43,29,0,5.44,NA,1618449364
nikolskoye,6.7013,101.6168,80.6,78,20,5.75,TH,1618449364
longonjo,-1.9417,-54.7383,77.0,94,20,3.44,BR,1618449365
avarua,70.4692,-68.5914,-7.6,77,1,16.11,CA,1618449365
asau,5.7667,73.3833,82.53,70,100,5.5,MV,1618449365
ilulissat,78.2186,15.6401,6.8,61,40,16.11,SJ,1618449401
abalak,-7.5325,-46.0356,74.52,89,100,3.51,BR,1618449401
lorengau,-34.5833,150.8552,73.99,45,0,4.0,AU,1618449401
arkhangelsk,30.3823,67.7282,51.1,46,85,2.39,PK,1618449401
hasaki,64.5667,143.2,6.08,77,100,4.65,RU,1618449402
dire,33.1222,46.1646,41.0,45,0,4.61,IR,1618449402
verkhnevilyuysk,-19.55,169.2667,84.2,79,20,6.91,VU,1618449402
salalah,26.0299,90.3041,80.37,44,26,3.65,IN,1618449403
tucumcari,40.7934,-73.4151,61.0,67,90,9.22,US,1618449403
souillac,8.8333,3.75,77.4,71,95,9.04,NG,1618449404
banjar,33.194,-82.5271,77.0,31,90,6.91,US,1618449404
airai,2.3284,37.9899,67.08,71,70,10.42,KE,1618449416
gushikawa,-28.7667,114.6,68.0,49,0,21.85,AU,1618449418
horsham,-9.5402,16.341,63.01,96,97,3.18,AO,1618449418
san patricio,-34.2,142.15,64.4,48,90,8.05,AU,1618449419
luderitz,22.2394,68.9678,79.59,67,87,14.12,IN,1618449419
sai buri,26.1247,127.6694,69.8,73,75,10.36,JP,1618449419
alenquer,62.1564,-7.1664,44.6,100,75,11.5,FO,1618449496
clyde river,43.7501,-81.7165,41.0,65,95,6.91,CA,1618449306
manadhoo,38.7333,-27.0667,59.0,94,0,2.98,PT,1618449496
longyearbyen,10.7,-12.25,64.45,88,100,4.23,GN,1618449504
balsas,60.4667,166.1,20.23,84,100,6.35,RU,1618449504
flinders,35.1333,140.3,53.6,46,40,10.36,JP,1618449444
mys shmidta,12.6664,100.9007,87.01,89,20,3.44,TH,1618449504
ziarat,-33.8667,121.9,60.8,100,40,11.5,AU,1618449505
ust-nera,38.8403,-97.6114,53.6,35,1,12.66,US,1618449505
tumannyy,-16.6853,-44.365,71.6,60,0,6.91,BR,1618449505
mehran,13.9297,41.6925,79.9,80,59,4.97,ER,1618449506
isangel,22.8909,-109.9124,84.2,37,1,5.75,MX,1618449506
lakhipur,61.3614,63.5842,47.21,77,100,12.86,RU,1618449506
melville,67.45,153.6833,14.56,69,4,5.82,RU,1618449506
chagda,41.1239,-100.7654,42.8,49,90,2.1,US,1618449507
igboho,63.4427,-20.2734,44.71,89,100,26.26,IS,1618449507
avera,-20.4081,57.7,77.0,94,75,6.91,MU,1618449507
marsabit,-0.9492,100.3543,79.2,84,97,2.33,ID,1618449507
geraldton,3.5679,98.956,78.8,89,75,1.57,ID,1618449508
malanje,8.5711,81.2335,79.41,82,99,4.29,LK,1618449508
mildura,0.0847,-76.8828,72.12,97,100,1.95,EC,1618449508
dwarka,-20.0064,57.6608,75.0,88,99,3.0,MU,1618449510
itoman,-16.6228,-72.7111,68.34,83,61,5.95,PE,1618449510
vestmanna,-46.1333,167.6833,60.01,79,100,5.01,NZ,1618449510
goderich,60.1432,-45.2371,32.77,90,51,14.16,GL,1618449510
praia da vitoria,61.994,-49.6678,24.58,78,59,27.47,GL,1618449512
dalaba,70.3705,31.1107,33.17,73,38,25.93,NO,1618449512
tilichiki,-35.3333,-72.4167,55.69,89,7,10.63,CL,1618449512
katsuura,69.4719,25.5112,26.6,68,75,8.05,NO,1618449435
sattahip,-45.75,170.5667,62.01,70,9,8.99,NZ,1618449514
esperance,1.6381,18.0667,71.06,89,74,2.71,CG,1618449515
salina,-43.3002,-65.1023,66.34,54,99,3.53,AR,1618449515
coracao de jesus,-36.7167,-73.1167,59.0,77,0,6.91,CL,1618449316
edd,33.3406,44.4009,55.4,50,0,6.91,IQ,1618449509
cabo san lucas,52.554,33.2591,48.22,94,100,5.7,RU,1618449516
sovetskiy,37.6138,-122.4869,60.01,71,1,5.75,US,1618449518
srednekolymsk,19.75,10.25,81.23,8,0,11.25,NE,1618449519
north platte,46.7779,9.6762,25.0,93,75,8.05,CH,1618449539
vestmannaeyjar,29.9697,40.2064,60.8,20,0,11.5,SA,1618449539
mahebourg,-33.0117,17.9442,71.6,49,28,6.91,ZA,1618449539
padang,55.2999,-123.1698,59.0,31,1,4.61,CA,1618449540
perbaungan,-3.7481,-73.2472,77.0,94,40,0.36,PE,1618449541
trincomalee,39.0062,-77.4286,55.99,94,90,3.44,US,1618449541
nueva loja,-23.35,47.6,70.86,94,10,3.69,MG,1618449541
grand gaube,13.2167,-59.5167,78.8,69,40,9.22,BB,1618449541
sentyabrskiy,43.3036,44.8964,35.6,100,10,4.47,RU,1618449542
camana,47.7702,134.9076,39.16,24,0,13.18,RU,1618449542
tuatapere,56.5389,89.3011,32.4,94,97,4.14,RU,1618449542
nanortalik,43.1066,6.0172,50.0,81,0,3.44,FR,1618449543
paamiut,21.4022,-157.7394,82.4,57,20,12.66,US,1618449543
vardo,25.5198,90.2201,78.26,61,92,6.73,IN,1618449619
constitucion,70.6345,29.7185,30.63,76,95,21.56,NO,1618449620
karasjok,69.5763,20.2189,33.8,93,75,17.27,NO,1618449620
waitati,29.5833,-9.5,57.81,82,98,13.44,MA,1618449688
impfondo,1.5667,30.25,62.92,88,100,1.32,CD,1618449688
rawson,63.7506,-68.5145,-0.4,71,1,13.8,CA,1618449689
talcahuano,-38.2667,141.9667,60.62,68,100,18.84,AU,1618449689
